,bibid,title,score,score_cat,severe_toxicity,insult,identity_attack,threat,obscene
0,(OCoLC)1110021888,"Witches, Sluts, Feminists :",0.9952282,.75-1,0.19694689,0.7741059,0.37301275,0.0070795915,0.8888152
1,(CKB)4100000008484946,¿Es tu jefe un gilipollas?.,0.9951066,.75-1,0.028310794,0.11028188,0.043871474,0.0028267629,0.12609448
2,(OCoLC)ocm34699730,"La parra, la perra y la porra /",0.9943474,.75-1,0.03283402,0.082940914,0.021234376,0.0051259827,0.107071824
3,(OCoLC)760279912,"Witches, wife beaters, and whores :",0.9937238,.75-1,0.053704474,0.3049308,0.053442392,0.0030599225,0.4786585
4,(OCoLC)ocn708243813,"Witches, wife beaters, and whores :",0.9937238,.75-1,0.053704474,0.3049308,0.053442392,0.0030599225,0.4786585
5,(YBPDDA)ebc869075,Why are faggots so afraid of faggots? :,0.99368894,.75-1,0.08407134,0.9244337,0.96291023,0.013830954,0.8919471
6,(OCoLC)ocn232648188,"Duck, you sucker",0.9931779,.75-1,0.07975371,0.9276097,0.022665223,0.008323214,0.9442529
7,(OCoLC)ocm30835997,"Wild Dick, the Indian slayer ...",0.992767,.75-1,0.14191945,0.6441477,0.37261796,0.023426522,0.9387439
8,(OCoLC)ocn953830144,Stupid fucking bird :,0.99224806,.75-1,0.1347354,0.9589417,0.20909631,0.014661691,0.97303337
9,(MiAaPQ)EBC869075,Why are faggots so afraid of faggots?,0.992063,.75-1,0.07081818,0.9278354,0.96414024,0.014364685,0.8895508
