bibid,description,score,score_cat
(CKB)3710000000420489,"Do you ever find yourself thinking, how could you be so stupid, you look fat, or you're a horrible mother? Are you afraid people will find out you've fooled them into thinking you're competent? If you're guilty of expressing these types of discouraging messages, then you have a bitch in your head. This self-critical behavior can wreak havoc with your life-it can keep you from getting the love you want, the raise you deserve, or even a good night's sleep.Dr. Plumez began to notice a pattern with her patients being too hard on themselves. She found that gentler approaches didn't work, but when s",0.98363435,.75-1
(CKB)1000000000380783,"Praise for Hoover’s bestseller How to Work for an Idiot: “Anyone who has to work should read How to Work for an Idiot.” – USA Today “Dr. Hoover recommends admitting that you are ‘powerless’ over the jerks in your life. Otherwise, ‘harboring all that resentment is like drinking a cup of poison and waiting for the jerk to die’.” – The Wall Street Journal “‘How to Work for an Idiot’ contains a lot of humor, with plenty of good information as well.” – Campbell Brown, Weekend Today Show “There is no question that How to Work for an Idiot is a subversive book. People will pick it up expecting a tasty blend of commiseration and advice. They will put it down thinking, to paraphrase the famous line from the cartoon character Pogo, ‘We have met the idiot, and he is us’.” – The New York Times “Dr. John’s ‘How to Work for an Idiot’ is very funny stuff, with some stinging jabs in there.” – Neil Cavuto, FOX News “...an irreverent and realistic look at what people must deal with every day at work.” – CNNfn “After reading How to Work for an Idiot, I feel that I have become a better boss myself.” —Stew Leonard, owner of Stew Leonard’s Inc. How to Work for an Idiot is the confession of a recovering “I-Boss” (Idiot Boss). After decades of writing and consulting, John Hoover, also known as Dr. John, finally realized that the vast majority of people he kept trying to energize, to motivate, and to enlighten were, well—idiots. He also realized that he was an idiot for trying to change them. Instead, he has decided to enlighten you, the poor schlubs, who actually must continue working for these idiot bosses. You cannot change them. You cannot challenge them. And, no, you cannot practice anything on them you saw on CSI or even CSI: Miami. But, you can survive them, even thrive under them, if only you know how to deal with them. How to Work for an Idiot contains real solutions for real problems that employees must deal with every day: • Idiot-speak—How to speak and understand your I-Boss’s language. • Idiot-eat—What to do when your I-Boss gets lettuce stuck in her teeth at lunch. • How to appear dumber than your boss—a key way to save your job and go far in it. So, despair no longer—this book offers hope for the spirit, strategy for the mind, and the essential ins-and-outs of dealing with an idiot boss. And it wouldn’t hurt idiot-bosses themselves to take a look at what Dr. John says in this book. John Hoover, Ph.D. is an organizational leadership consultant, a former ...",0.9819403,.75-1
(YBPDDA)ebc1177199,Uncrossable rivers! Hospitable nomads! Rabid dogs! Marijuana fields! Hailstone flashfloods! Maidens on horseback! Underpants wrestling! Toxic mountain-top lakes! Stupid westerners! And the mountain-biking - so much biking your arse will hurt just reading it. This is what happens when two young idiots set out on a gonzo ride across the wilds of Mongolia.,0.98072183,.75-1
(OCoLC)ocm37115033,"Sleuth Hap Collins and his black sidekick go after a gang of gay-bashers. The gang makes videotapes as they rape, torture and murder homosexuals. The setting is Texas.",0.9784098,.75-1
(CKB)3790000000019336," École de merde, élèves de merde, profs de merde... Un prof  a décidé de contrer cette trilogie infernaleLa question est là, lancinante : que peut-on faire d'une génération issue de l'immigration et qui peine à  trouver sa place au sein du système scolaire ? Déscolarisés,  largement en retard, souvent dépourvus des bases en français  et en mathématiques, des milliers de jeunes n'ont et n'auront  jamais l'opportunité de mener des études supérieures. De la  chair à chômage ou de futurs délinquants, voilà ce qu'en disent  les âmes bien pensantes... Pas Pierre Pirard. À 47 ans, ce  grand patron re",0.9727815,.75-1
(TxDaM)3791072-smudb,"""A gangbang directed by the girl getting banged. A horny wrestler breaking into a teammate's locker to jerk off. Two fags in love drinking 40's and fucking on a rooftop. A burlesque start getting seduced by her real life girlfriend. A porn star pour milk all over her honey. Yes, the queer world is as hard to define as it is to ignore--and these foxes are here to give you a VIP pass to the whole scene.",0.9650895,.75-1
(VaAlASP)3235508,"This issue of Sydney Gay Liberation Newsletter notes that the articles are primarily reprints from overseas gay papers. They include one on the dangers of syphilis and one discussing U.S. servicemen's attitude toward soldiers of the Army of the Republic of Vietnam, referring to them as ''prissy'' and ''faggots.''",0.9626002,.75-1
(OCoLC)ocn847724964,"The Oh fuck moment: Fucking up is the truest, funniest, most terrifying moment you can experience. Poet Hannah Jane Walker and theatre-maker Chris Thorpe examine the poetic guts of mistakes in a bundle of words and strip lighting. This is an award-winning conversation around a desk for brave souls to hold their hands up and admit they fucked up, or for people to laugh at us because we did.",0.95996666,.75-1
(OCoLC)ocm44553532,"An obsessed surgeon tries to restore his sister's fire-scarred face by abducting young women and performing skin graft operations on them.  Assisting him is his sadistic slave, Morpho, a ""sightless idiot"" who occasionally bites his victims and keeps them chained up afterward.",0.95684516,.75-1
(VaAlASP)3153310,The Adventures of Mr. Penis comic strip.,0.95613724,.75-1
(OCoLC)ocn776972087,"Newly divorced Amanda Vaughn returns to her hometown of Hillside Park, an upper-class Dallas suburb, where, instead of finding Christian comfort, she encounters a group of Good Christian Bitches who attack her behind her back.",0.95572746,.75-1
(VaAlASP)3261818,"Black and white engraving image of the exterior of the Royal Albert Asylum for Idiots in Lancaster, England.",0.95301116,.75-1
(CKB)3790000000023313," Extrait : """"Nerveuse et pauvre, imaginative et famélique, Douceline fut précocement caresseuse et embrasseuse, amusée de passer ses mains le long de la joue des garçonnets et dans le cou des fillettes qui se laissaient faire comme des chattes..."""" ",0.949863,.75-1
(OCoLC)57176098,A gay Spanish man falls in love with a straight Bulgarian immigrant willing to trade sex for money.,0.9496743,.75-1
(VaAlASP)3261718,"Black and white engraving image of Essex Hall Asylum for 'idiots' in Colchester, United Kingdom.",0.94810796,.75-1
(OCoLC)991400236,"""'Who the fuck are you?' 'I'm the Walrus of Loneliness. Let me in.' A few years in the middle of a shitstorm of life events, single mother, artist and proud Londoner Annie Siddons found herself living in suburbia by accident. This show is a hilarious, brutal and poignant attempt to describe what happened next.""--Page 4 of cover.",0.94669986,.75-1
